run_id,site,model,rep,status,decision,discovery_steps,search_calls,unique_search_results,fetch_attempts,fetch_successes,selected_pages,coverage_count,coverage_fraction,covered_topics,missing_topics,model_unanswered_topics,search_url_jaccard_to_rep1,selected_url_jaccard_to_rep1,topic_jaccard_to_rep1,model_calls,input_tokens,output_tokens,total_tokens,latency_sec,termination_reason,notes
667752ef-2b38-45e7-b9ff-d3a14d93cc0f,stampede3,gemini-3.1-pro-preview,2,completed,complete,1,10,36,10,10,1,4,1.00,networking|resources|storage|submission,,,0.500,1.000,1.000,1,3529,351,3880,34.075,model_selected,
87196427-c743-4f7c-8777-b35a02ccb1d8,stampede3,gemini-3.1-pro-preview,3,completed,complete,1,10,35,10,10,1,4,1.00,networking|resources|storage|submission,,,0.578,1.000,1.000,1,3529,396,3925,35.568,model_selected,
f25e6259-f150-42f3-8d8f-d39a04a3162c,stampede3,gemini-3.6-flash,1,completed,complete,1,10,37,10,10,1,4,1.00,networking|resources|storage|submission,,,1.000,1.000,1.000,1,3529,631,4160,42.744,model_selected,
0206b87c-9603-4171-abdf-43767feb0e58,stampede3,gemini-3.6-flash,2,completed,complete,1,10,34,10,10,1,4,1.00,networking|resources|storage|submission,,,0.775,1.000,1.000,1,3529,679,4208,34.098,model_selected,
3ac19fa2-ee5e-40ad-91da-88a17783dba5,stampede3,gemini-3.6-flash,3,completed,complete,1,10,34,10,10,1,4,1.00,networking|resources|storage|submission,,,0.578,1.000,1.000,1,3529,655,4184,37.158,model_selected,
22d58aed-a74f-46fb-8087-33ebde215ef2,stampede3,gpt-5-mini,1,completed,complete,1,10,28,10,10,1,4,1.00,networking|resources|storage|submission,,,1.000,1.000,1.000,1,3540,924,4464,43.677,model_selected,
99383b8a-f26a-4ef8-97a3-93713ced896b,stampede3,gpt-5-mini,2,completed,complete,1,10,34,10,10,1,4,1.00,networking|resources|storage|submission,,"Per-user or per-project disk quotas for home, work, and scratch (numeric limits not clearly shown in the available excerpt).|Precise network topology and measured interconnect performance numbers (bandwidth/latency per node or per link).|Detailed per-partition/queue resource limits such as default CPUs, memory, GPUs per node for each partition (tables may exist but numeric defaults or constraints for specific partitions were not confirmed).|Any site-specific limits on concurrent jobs, job submission rate limits, or scheduler QOS settings beyond the general job accounting description.|Procedures and contact details for requesting access to specific compute nodes or exceptions (the page warns not to request specific nodes but exact approval workflow is not detailed).|Policies or tools for large-scale data transfers (e.g., recommended Globus endpoints, ftp, or data-mover services) beyond general file system navigation.",0.512,1.000,1.000,1,3540,1091,4631,41.254,model_selected,
edc2d6b6-d952-4af3-a5cf-0f906ae8ce06,stampede3,gpt-5-mini,3,completed,complete,1,10,36,10,10,1,4,1.00,networking|resources|storage|submission,,"Precise network performance metrics and topology (per-job network bandwidth, interconnect details beyond the 'Network' heading).|Concrete storage quota numbers and per-allocation/project default quotas (the headings list file systems but exact quota values may not be explicit).|External data transfer endpoints, recommended transfer tools (Globus/rsync) and any firewall or transfer restrictions.|Exact procedure and contacts for requesting node-specific allocations or excluding/targeting nodes (the guide warns against requesting specific nodes but may not detail approval process).|Any site-specific Slurm limits/quality-of-service details not in the Job Queues table (e.g., per-user job caps, max array sizes).|Credentials or local hostname details for interactive services (Jupyter/JupyterHub access endpoints) if not fully described on the page.",0.524,1.000,1.000,1,3540,994,4534,53.053,model_selected,
021ac0eb-87f6-4fb2-bf74-b550bf3ca92f,stampede3,gpt-5.6-terra,1,completed,complete,1,10,37,10,10,1,4,1.00,networking|resources|storage|submission,,,1.000,1.000,1.000,1,4023,125,4148,37.820,model_selected,
537232fa-6a1d-4a96-9c23-f7a2c84152d9,stampede3,gpt-5.6-terra,2,completed,complete,1,10,28,10,9,1,4,1.00,networking|resources|storage|submission,,,0.444,1.000,1.000,1,4023,104,4127,29.126,model_selected,
c8b080ef-4667-4e58-a98a-0645742a87ab,stampede3,gpt-5.6-terra,3,completed,complete,2,13,42,13,13,1,4,1.00,networking|resources|storage|submission,,,0.519,1.000,1.000,2,5054,324,5378,53.037,model_selected,
