site_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,acceptable_values_json,evidence_class,expected_source_type,source_url,source_quote,match_rule,truth_scope,priority,review_status,notes
anvil,/slurm/partitions/shared/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/shared/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/wide/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wide/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/wide/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wide/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/wide/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/highmem/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/highmem/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/highmem/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/debug/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/debug/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/debug/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/debug/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/debug/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/gpu/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/ai/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/ai/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/ai/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/ai/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/ai/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/gpu-debug/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/profiling/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/profiling/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/profiling/cpus_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/memory_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/temporary_disk_mib_per_node,slurm,integer,,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/gpu_count_per_node,slurm,integer,,,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/gpu_models,slurm,array,,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/features,slurm,array,,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/htcondor,htcondor,object,,,null,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage,storage,array,,,"[""home"", ""project"", ""scratch"", ""tmp""]",,configuration,measurement,,,set,site,high,unreviewed,
anvil,/storage/home/path_pattern,storage,string,,,"""/home/{username}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/home/filesystem_type,storage,string,,,"""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/home/login_readable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/home/login_writable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/home/compute_visible,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/home/compute_readable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/home/compute_writable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/home/available_bytes,storage,integer,,,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/home/purge_after_days,storage,integer,,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/project/path_pattern,storage,string,,,"""/project/{account}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/project/filesystem_type,storage,string,,,"""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/project/login_readable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/project/login_writable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/project/compute_visible,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/project/compute_readable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/project/compute_writable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/project/available_bytes,storage,integer,,,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/project/purge_after_days,storage,integer,,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/data/path_pattern,storage,string,,,"""/data/{group}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/data/filesystem_type,storage,string,,,"""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/data/login_readable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/data/login_writable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/data/compute_visible,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/data/compute_readable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/data/compute_writable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/data/available_bytes,storage,integer,,,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/data/purge_after_days,storage,integer,,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/scratch/path_pattern,storage,string,,,"""/scratch/{username}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/scratch/filesystem_type,storage,string,,,"""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/login_readable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/login_writable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/compute_visible,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/compute_readable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/compute_writable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/available_bytes,storage,integer,,,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/scratch/purge_after_days,storage,integer,,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/tmp/path_pattern,storage,string,,,"""/tmp""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/tmp/filesystem_type,storage,string,,,"""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/login_readable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/login_writable,storage,boolean,,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/compute_visible,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/compute_readable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/compute_writable,storage,boolean,,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/available_bytes,storage,integer,,,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/tmp/purge_after_days,storage,integer,,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/network/login/hostname_patterns,network,array,,,"[""*.anvil.rcac.purdue.edu""]",,configuration,measurement,,,set,site,high,unreviewed,
anvil,/network/login/dns_resolution,network,boolean,,,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/login/outbound_https,network,boolean,,,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/login/local_tcp_bind,network,boolean,,,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/login/local_tcp_loopback,network,boolean,,,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/compute/hostname_patterns,network,array,,,"[""a*.anvil.rcac.purdue.edu""]",,capability,documentation_or_pilot,,,set,site,high,unreviewed,
anvil,/network/compute/dns_resolution,network,boolean,,,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute/outbound_https,network,boolean,,,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute/local_tcp_bind,network,boolean,,,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute/local_tcp_loopback,network,boolean,,,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/login_compute/tcp_connect,network,boolean,,,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/login_compute/verified_ports,network,array,,,"[30000, 30100]",,capability,documentation_or_pilot,,,set,site,high,unreviewed,
anvil,/network/login_compute/suggested_port_range,network,string,,,"""30000-30999""",,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute_compute/tcp_connect,network,boolean,,,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute_compute/verified_ports,network,array,,,"[30000, 30100]",,capability,documentation_or_pilot,,,set,site,high,unreviewed,
anvil,/network/compute_compute/suggested_port_range,network,string,,,"""30000-30999""",,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/accounting/allocation_required,accounting,boolean,,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/accounting/visible_accounts,accounting,array,,,"[""example-account""]",,configuration,measurement,,,set,run_snapshot,normal,unreviewed,
anvil,/accounting/charging_model,accounting,string,,,"""service-unit""",,policy,documentation,,,manual,site,high,unreviewed,
anvil,/software/module_system,software,string,,,"""lmod""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/software/workflow_tools,software,array,,,"[""parsl""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/software/container_runtimes,software,array,,,"[""apptainer""]",,configuration,measurement,,,set,site,normal,unreviewed,
