site_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,acceptable_values_json,evidence_class,expected_source_type,source_url,source_quote,match_rule,truth_scope,priority,review_status,notes
anvil,/slurm/partitions/wholenode/node_count,slurm,integer,value,750,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wholenode/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wholenode/memory_mib_per_node,slurm,integer,value,257400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wholenode/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wholenode/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wholenode/gpu_models,slurm,array,not_applicable,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/wholenode/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/standard/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/standard/maximum_walltime_seconds,slurm,integer,value,-1,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/standard/node_count,slurm,integer,value,750,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/standard/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/standard/memory_mib_per_node,slurm,integer,value,257400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/standard/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/standard/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/standard/gpu_models,slurm,array,not_applicable,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/standard/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/shared/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/shared/maximum_walltime_seconds,slurm,integer,value,345600,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/shared/node_count,slurm,integer,value,250,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/shared/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/shared/memory_mib_per_node,slurm,integer,value,257400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/shared/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/shared/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/shared/gpu_models,slurm,array,not_applicable,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/shared/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/wide/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wide/maximum_walltime_seconds,slurm,integer,value,43200,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/wide/node_count,slurm,integer,value,746,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wide/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/memory_mib_per_node,slurm,integer,value,257400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/wide/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/highmem/maximum_walltime_seconds,slurm,integer,value,172800,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/highmem/node_count,slurm,integer,value,32,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/highmem/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/memory_mib_per_node,slurm,integer,value,1031400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/debug/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/debug/maximum_walltime_seconds,slurm,integer,value,7200,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/debug/node_count,slurm,integer,value,17,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/debug/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/memory_mib_per_node,slurm,integer,value,257400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/debug/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu/maximum_walltime_seconds,slurm,integer,value,172800,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/gpu/node_count,slurm,integer,value,16,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/memory_mib_per_node,slurm,integer,value,515400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/gpu_count_per_node,slurm,integer,value,4,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/ai/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/ai/maximum_walltime_seconds,slurm,integer,value,172800,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/ai/node_count,slurm,integer,value,21,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/ai/cpus_per_node,slurm,integer,value,96,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/memory_mib_per_node,slurm,integer,value,1031000,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/gpu_count_per_node,slurm,integer,value,4,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/ai/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/ai/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/maximum_walltime_seconds,slurm,integer,value,1800,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/gpu-debug/node_count,slurm,integer,value,16,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/memory_mib_per_node,slurm,integer,value,515400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/gpu_count_per_node,slurm,integer,value,4,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/gpu-debug/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/available,slurm,boolean,value,true,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/profiling/maximum_walltime_seconds,slurm,integer,value,-1,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/node_count,slurm,integer,value,4,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/profiling/cpus_per_node,slurm,integer,value,128,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/memory_mib_per_node,slurm,integer,value,257400,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/temporary_disk_mib_per_node,slurm,integer,silent,,262144,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/gpu_count_per_node,slurm,integer,value,0,4,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/gpu_models,slurm,array,silent,,"[""NVIDIA A100""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions/profiling/features,slurm,array,silent,,"[""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/htcondor,htcondor,object,not_applicable,,null,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage,storage,array,value,"[""home"", ""project"", ""data"", ""scratch"", ""tmp""]","[""home"", ""project"", ""data"", ""scratch"", ""tmp""]",,configuration,measurement,,,set,site,high,unreviewed,
anvil,/storage/home/path_pattern,storage,string,value,"""/home/{username}""","""/home/{username}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/home/filesystem_type,storage,string,value,"""nfs""","""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/home/login_readable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/home/login_writable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/home/compute_visible,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/home/compute_readable,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/home/compute_writable,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/home/available_bytes,storage,integer,value,13077618098176,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/home/purge_after_days,storage,integer,silent,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/project/path_pattern,storage,string,value,"""/anvil/projects/{group}""","""/project/{account}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/project/filesystem_type,storage,string,value,"""gpfs""","""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/project/login_readable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/project/login_writable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/project/compute_visible,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/project/compute_readable,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/project/compute_writable,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/project/available_bytes,storage,integer,value,5497558138880,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/project/purge_after_days,storage,integer,silent,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/data/path_pattern,storage,string,not_applicable,,"""/data/{group}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/data/filesystem_type,storage,string,not_applicable,,"""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/data/login_readable,storage,boolean,not_applicable,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/data/login_writable,storage,boolean,not_applicable,,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/data/compute_visible,storage,boolean,not_applicable,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/data/compute_readable,storage,boolean,not_applicable,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/data/compute_writable,storage,boolean,not_applicable,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/data/available_bytes,storage,integer,not_applicable,,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/data/purge_after_days,storage,integer,not_applicable,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/scratch/path_pattern,storage,string,value,"""/anvil/scratch/{username}""","""/scratch/{username}""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/scratch/filesystem_type,storage,string,value,"""gpfs""","""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/login_readable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/login_writable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/compute_visible,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/compute_readable,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/compute_writable,storage,boolean,value,true,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/scratch/available_bytes,storage,integer,value,2407361146781696,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/scratch/purge_after_days,storage,integer,silent,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/storage/tmp/path_pattern,storage,string,value,"""/tmp""","""/tmp""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/storage/tmp/filesystem_type,storage,string,value,"""xfs""","""gpfs""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/login_readable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/login_writable,storage,boolean,value,true,true,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/compute_visible,storage,boolean,not_applicable,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/compute_readable,storage,boolean,not_applicable,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/compute_writable,storage,boolean,not_applicable,,true,,capability,pilot,,,exact,site,normal,unreviewed,
anvil,/storage/tmp/available_bytes,storage,integer,value,345579003904,1073741824,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/storage/tmp/purge_after_days,storage,integer,not_applicable,,30,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/network/login/hostname_patterns,network,array,value,"[""*.anvil.rcac.purdue.edu""]","[""*.anvil.rcac.purdue.edu""]",,configuration,measurement,,,set,site,high,unreviewed,
anvil,/network/login/dns_resolution,network,boolean,value,true,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/login/outbound_https,network,boolean,value,true,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/login/local_tcp_bind,network,boolean,value,true,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/login/local_tcp_loopback,network,boolean,value,true,true,,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/network/compute/hostname_patterns,network,array,value,"[""*.anvil.rcac.purdue.edu""]","[""a*.anvil.rcac.purdue.edu""]",,capability,documentation_or_pilot,,,set,site,high,unreviewed,
anvil,/network/compute/dns_resolution,network,boolean,value,true,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute/outbound_https,network,boolean,value,true,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute/local_tcp_bind,network,boolean,value,true,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/compute/local_tcp_loopback,network,boolean,value,true,true,,capability,documentation_or_pilot,,,exact,site,high,unreviewed,
anvil,/network/login_compute/tcp_connect,network,boolean,value,true,true,,capability,pilot,,,exact,run_snapshot,high,unreviewed,
anvil,/network/login_compute/verified_ports,network,array,value,"[30000, 30801, 31545, 31820, 32180, 32906, 33443, 33697]","[30000, 30100]",,capability,pilot,,,set,run_snapshot,high,unreviewed,
anvil,/network/login_compute/suggested_port_range,network,string,value,"""30000-33999""","""30000-30999""",,capability,pilot,,,exact,run_snapshot,high,unreviewed,
anvil,/network/compute_compute/tcp_connect,network,boolean,value,true,true,,capability,pilot,,,exact,run_snapshot,high,unreviewed,
anvil,/network/compute_compute/verified_ports,network,array,value,"[30000, 30965, 31246, 31643, 32122, 32507, 33213, 33393]","[30000, 30100]",,capability,pilot,,,set,run_snapshot,high,unreviewed,
anvil,/network/compute_compute/suggested_port_range,network,string,value,"""30000-33999""","""30000-30999""",,capability,pilot,,,exact,run_snapshot,high,unreviewed,
anvil,/accounting/allocation_required,accounting,boolean,value,true,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/accounting/visible_accounts,accounting,array,not_applicable,,"[""example-account""]",,configuration,measurement,,,set,run_snapshot,normal,unreviewed,
anvil,/accounting/charging_model,accounting,string,not_applicable,,"""service-unit""",,policy,documentation,,,manual,site,high,unreviewed,
anvil,/software/module_system,software,string,not_applicable,,"""lmod""",,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/software/workflow_tools,software,array,not_applicable,,"[""parsl""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/software/container_runtimes,software,array,not_applicable,,"[""apptainer""]",,configuration,measurement,,,set,site,normal,unreviewed,
